0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.650721808363626808e-01,1.553385592541721678e+02,2.084464883336682988e+02
6.128640722296790910e-01,1.635127941833067098e+02,2.085214161388670675e+02
5.394636637484085950e-01,1.539621084833707414e+02,2.175681318364876518e+02
5.660661319543583980e-01,1.501884217140563749e+02,1.937155354478721279e+02
5.565950851729278837e-01,1.504110396637879887e+02,1.988528069136720546e+02
6.481036052828677008e-01,1.733379873328028964e+02,2.189996650562272862e+02
5.522025853859419131e-01,1.571260548180746639e+02,2.198778219209574445e+02
5.153005484446440132e-01,1.452619613657372781e+02,2.053670554154982995e+02
6.110327893209961392e-01,1.645407550099117771e+02,2.120313208225213657e+02
6.468184100203502318e-01,1.640108904305629665e+02,1.957840238896074538e+02
5.885356916262873828e-01,1.658723800349281134e+02,2.259190432012651684e+02
5.268587873341796790e-01,1.478078825289427982e+02,2.065609671555511397e+02
6.022498687823282237e-01,1.627571880368505504e+02,2.112133404386457300e+02
6.278000014038992438e-01,1.735207317265198697e+02,2.281231981363743557e+02
6.118864084748766308e-01,1.633089503441282488e+02,2.084107234176271675e+02
5.434728241640953694e-01,1.550569543135755737e+02,2.185721498503773432e+02
4.474430012334957296e-01,1.379271758501090517e+02,2.243911371976898010e+02
5.563554441811666695e-01,1.533262651844922857e+02,2.071242929846704328e+02
6.116493185794877885e-01,1.649054100194979640e+02,2.127207275202453047e+02
5.544774725954381145e-01,1.598331637473779097e+02,2.262997849622460933e+02
6.794051028864291908e-01,1.809433452557098292e+02,2.254770406424448197e+02
5.513323827730501892e-01,1.410921151671111886e+02,1.752108307404383254e+02
5.913060080219374459e-01,1.542021155061562467e+02,1.931919182847698551e+02
7.296148321854935004e-01,1.741842061422225925e+02,1.911262160041943332e+02
7.585085563270678177e-01,1.682314744564995692e+02,1.682314744564995692e+02
5.183493400360764669e-01,1.484932763977652428e+02,2.131741805686336022e+02
5.699322687029662049e-01,1.596509578995451193e+02,2.179811893299058170e+02
6.658174427386454042e-01,1.765924003162683107e+02,2.200264012830286049e+02
6.681524049099349938e-01,1.760031405121986836e+02,2.176283422656414075e+02
5.289462565354331458e-01,1.519392007814510919e+02,2.173955903965198218e+02
6.045315186003189512e-01,1.614864456598880906e+02,2.068205853897048598e+02
4.864733492696434181e-01,1.374839013454640337e+02,1.983048758413741837e+02
5.921339779443346441e-01,1.605019488402987236e+02,2.097663072016766819e+02
5.278893885821162035e-01,1.443229562324018787e+02,1.959267081372624659e+02
